jersey_number,field_position,international_name,birth_date,club_id,detailed_field_position,id,image_url,country_code,field_position_fr,height,weight,team_id,group,age,age_float,bmi
24,DEFENDER,Becir Omeragic,2002-01-20,51150,CENTRE_BACK,250116165,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250116165.jpg,SUI,Défenseur,,,128,A,19,19.405479452054795,
4,DEFENDER,Nico Elvedi,1996-09-30,52757,CENTRE_BACK,250055734,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250055734.jpg,SUI,Défenseur,188.0,83.0,128,A,25,24.715068493150685,23.48347668628339
3,DEFENDER,Silvan Widmer,1993-03-05,59856,WINGER,250042877,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250042877.jpg,SUI,Défenseur,183.0,81.0,128,A,28,28.29041095890411,24.187046492878256
25,DEFENDER,Eray Cömert,1998-02-04,59856,CENTRE_BACK,250076183,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250076183.jpg,SUI,Défenseur,180.0,70.0,128,A,23,23.367123287671234,21.604938271604937
22,DEFENDER,Fabian Schär,1991-12-20,59324,CENTRE_BACK,250050401,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250050401.jpg,SUI,Défenseur,186.0,84.0,128,A,30,29.4986301369863,24.280263614290668
6,MIDFIELDER,Denis Zakaria,1996-11-20,52757,CENTRAL_MIDFIELDER,250079677,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250079677.jpg,SUI,Milieu,191.0,76.0,128,A,25,24.575342465753426,20.832762259806476
23,MIDFIELDER,Xherdan Shaqiri,1991-10-10,7889,WINGER,1905360,https://img.uefa.com/imgml/TP/players/3/2020/324x324/1905360.jpg,SUI,Milieu,169.0,72.0,128,A,30,29.693150684931506,25.209201358495854
20,MIDFIELDER,Edimilson Fernandes,1996-04-15,70853,UNKNOWN,250086789,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250086789.jpg,SUI,Milieu,190.0,70.0,128,A,25,25.175342465753424,19.390581717451525
16,MIDFIELDER,Christian Fassnacht,1993-11-11,50031,STRIKER,250110901,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250110901.jpg,SUI,Milieu,,,128,A,28,27.602739726027398,
14,MIDFIELDER,Steven Zuber,1991-08-17,50072,WINGER,1905363,https://img.uefa.com/imgml/TP/players/3/2020/324x324/1905363.jpg,SUI,Milieu,181.0,,128,A,30,29.84109589041096,
10,MIDFIELDER,Granit Xhaka,1992-09-27,52280,CENTRAL_MIDFIELDER,250004721,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250004721.jpg,SUI,Milieu,185.0,82.0,128,A,29,28.726027397260275,23.959094229364496
11,MIDFIELDER,Ruben Vargas,1998-08-05,2600978,UNKNOWN,250110397,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250110397.jpg,SUI,Milieu,,,128,A,23,22.86849315068493,
