association_logo_url,big_logo_url,country_code,id_provider,international_name,logo_url,medium_logo_url,team_code,team_type_detail,display_official_name,club_id
https://img.uefa.com/imgml/uefacom/elements/logos/ma/TUR.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/50157.png,TUR,FAME,Beşiktaş,https://img.uefa.com/imgml/TP/teams/logos/70x70/50157.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/50157.png,BJK,DOMESTIC_MEN_TEAM_A,Beşiktaş JK,50157
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/53359.png,ENG,FAME,West Brom,https://img.uefa.com/imgml/TP/teams/logos/70x70/53359.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/53359.png,WES,DOMESTIC_MEN_TEAM_A,West Bromwich Albion FC,53359
https://img.uefa.com/imgml/uefacom/elements/logos/ma/NED.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52749.png,NED,FAME,Feyenoord,https://img.uefa.com/imgml/TP/teams/logos/70x70/52749.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52749.png,FEY,DOMESTIC_MEN_TEAM_A,Feyenoord,52749
https://img.uefa.com/imgml/uefacom/elements/logos/ma/TUR.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/50067.png,TUR,FAME,Galatasaray,https://img.uefa.com/imgml/TP/teams/logos/70x70/50067.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/50067.png,GAL,DOMESTIC_MEN_TEAM_A,Galatasaray AŞ,50067
https://img.uefa.com/imgml/uefacom/elements/logos/ma/GER.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/5926.png,GER,FAME,Düsseldorf,https://img.uefa.com/imgml/TP/teams/logos/70x70/5926.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/5926.png,DUS,DOMESTIC_MEN_TEAM_A,Fortuna Düsseldorf,5926
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ESP.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/87960.png,ESP,FAME,Getafe,https://img.uefa.com/imgml/TP/teams/logos/70x70/87960.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/87960.png,GET,DOMESTIC_MEN_TEAM_A,Getafe CF,87960
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/53356.png,ENG,FAME,Stoke,https://img.uefa.com/imgml/TP/teams/logos/70x70/53356.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/53356.png,STO,DOMESTIC_MEN_TEAM_A,Stoke City FC,53356
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52916.png,ENG,FAME,Crystal Palace,https://img.uefa.com/imgml/TP/teams/logos/70x70/52916.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52916.png,CRY,DOMESTIC_MEN_TEAM_A,Crystal Palace FC,52916
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/68215.png,ENG,FAME,Sheff. United,https://img.uefa.com/imgml/TP/teams/logos/70x70/68215.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/68215.png,SHE,DOMESTIC_MEN_TEAM_A,Sheffield United FC,68215
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52659.png,ENG,FAME,Swansea,https://img.uefa.com/imgml/TP/teams/logos/70x70/52659.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52659.png,SWA,DOMESTIC_MEN_TEAM_A,Swansea City AFC,52659
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/69598.png,ENG,FAME,Charlton,https://img.uefa.com/imgml/TP/teams/logos/70x70/69598.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/69598.png,CHA,DOMESTIC_MEN_TEAM_A,Charlton Athletic FC,69598
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/1652.png,ENG,FAME,Tottenham,https://img.uefa.com/imgml/TP/teams/logos/70x70/1652.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/1652.png,TOT,DOMESTIC_MEN_TEAM_A,Tottenham Hotspur,1652
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/74222.png,ENG,FAME,Luton,https://img.uefa.com/imgml/TP/teams/logos/70x70/74222.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/74222.png,LUT,DOMESTIC_MEN_TEAM_A,Luton Town FC,74222
https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/2601124.png,ENG,FAME,Bournemouth,https://img.uefa.com/imgml/TP/teams/logos/70x70/2601124.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/2601124.png,BOU,DOMESTIC_MEN_TEAM_A,AFC Bournemouth,2601124
