jersey_number,field_position,international_name,birth_date,club_id,detailed_field_position,id,image_url,country_code,field_position_fr,height,weight,team_id,group,age,age_float,bmi,association_logo_url,big_logo_url,country_code_club,id_provider,international_name_club,logo_url,medium_logo_url,team_code,team_type_detail,display_official_name,field_position_hr,field_position_color,country_name,country_flag,country_name_club,country_flag_club,league_name,group_hr,nbr_selections,nbr_selections_euro,nbr_selections_wcup,nbr_selections_friendly
4,DEFENDER,Vyacheslav Karavaev,1995-05-20,52826,FULL_BACK,250042589,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250042589.jpg,RUS,Défenseur,175.0,68.0,57451,B,26,26.08219178082192,22.20408163265306,https://img.uefa.com/imgml/uefacom/elements/logos/ma/RUS.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52826.png,RUS,FAME,Zenit,https://img.uefa.com/imgml/TP/teams/logos/70x70/52826.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52826.png,ZEN,DOMESTIC_MEN_TEAM_A,FC Zenit,Defender,#6d904f,Russia,🇷🇺,Russia,🇷🇺,Российская премьер-лига 🇷🇺,Group B,18.0,5.0,3.0,4.0
26,MIDFIELDER,Maksim Mukhin,2001-11-04,53065,UNKNOWN,250135265,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250135265.jpg,RUS,Milieu,,,57451,B,20,19.616438356164384,,https://img.uefa.com/imgml/uefacom/elements/logos/ma/RUS.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/53065.png,RUS,FAME,Lokomotiv Moskva,https://img.uefa.com/imgml/TP/teams/logos/70x70/53065.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/53065.png,LMO,DOMESTIC_MEN_TEAM_A,FC Lokomotiv Moskva,Midfielder,#30a2da,Russia,🇷🇺,Russia,🇷🇺,Российская премьер-лига 🇷🇺,Group B,5.0,,3.0,2.0
7,MIDFIELDER,Magomed Ozdoev,1992-11-05,52826,CENTRAL_MIDFIELDER,250021669,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250021669.jpg,RUS,Milieu,181.0,77.0,57451,B,29,28.61917808219178,23.503556057507403,https://img.uefa.com/imgml/uefacom/elements/logos/ma/RUS.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52826.png,RUS,FAME,Zenit,https://img.uefa.com/imgml/TP/teams/logos/70x70/52826.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52826.png,ZEN,DOMESTIC_MEN_TEAM_A,FC Zenit,Midfielder,#30a2da,Russia,🇷🇺,Russia,🇷🇺,Российская премьер-лига 🇷🇺,Group B,42.0,15.0,4.0,17.0
19,MIDFIELDER,Rifat Zhemaletdinov,1996-09-20,53065,UNKNOWN,250058763,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250058763.jpg,RUS,Milieu,184.0,,57451,B,25,24.742465753424657,,https://img.uefa.com/imgml/uefacom/elements/logos/ma/RUS.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/53065.png,RUS,FAME,Lokomotiv Moskva,https://img.uefa.com/imgml/TP/teams/logos/70x70/53065.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/53065.png,LMO,DOMESTIC_MEN_TEAM_A,FC Lokomotiv Moskva,Midfielder,#30a2da,Russia,🇷🇺,Russia,🇷🇺,Российская премьер-лига 🇷🇺,Group B,5.0,,3.0,2.0
23,MIDFIELDER,Daler Kuzyaev,1993-01-15,52826,DEFENSIVE_MIDFIELDER,250111090,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250111090.jpg,RUS,Milieu,,,57451,B,28,28.42465753424657,,https://img.uefa.com/imgml/uefacom/elements/logos/ma/RUS.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52826.png,RUS,FAME,Zenit,https://img.uefa.com/imgml/TP/teams/logos/70x70/52826.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52826.png,ZEN,DOMESTIC_MEN_TEAM_A,FC Zenit,Midfielder,#30a2da,Russia,🇷🇺,Russia,🇷🇺,Российская премьер-лига 🇷🇺,Group B,35.0,5.0,8.0,12.0
8,MIDFIELDER,Dmitri Barinov,1996-09-11,53065,DEFENSIVE_MIDFIELDER,250058228,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250058228.jpg,RUS,Milieu,179.0,,57451,B,25,24.767123287671232,,https://img.uefa.com/imgml/uefacom/elements/logos/ma/RUS.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/53065.png,RUS,FAME,Lokomotiv Moskva,https://img.uefa.com/imgml/TP/teams/logos/70x70/53065.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/53065.png,LMO,DOMESTIC_MEN_TEAM_A,FC Lokomotiv Moskva,Midfielder,#30a2da,Russia,🇷🇺,Russia,🇷🇺,Российская премьер-лига 🇷🇺,Group B,7.0,5.0,,2.0
24,MIDFIELDER,Andrei Mostovoy,1997-11-05,52826,UNKNOWN,250143312,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250143312.jpg,RUS,Milieu,,,57451,B,24,23.616438356164384,,https://img.uefa.com/imgml/uefacom/elements/logos/ma/RUS.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52826.png,RUS,FAME,Zenit,https://img.uefa.com/imgml/TP/teams/logos/70x70/52826.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52826.png,ZEN,DOMESTIC_MEN_TEAM_A,FC Zenit,Midfielder,#30a2da,Russia,🇷🇺,Russia,🇷🇺,Российская премьер-лига 🇷🇺,Group B,10.0,,3.0,4.0
21,MIDFIELDER,Daniil Fomin,1997-03-02,52704,UNKNOWN,250089462,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250089462.jpg,RUS,Milieu,,,57451,B,24,24.295890410958904,,https://img.uefa.com/imgml/uefacom/elements/logos/ma/RUS.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52704.png,RUS,FAME,Dynamo Moscow,https://img.uefa.com/imgml/TP/teams/logos/70x70/52704.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52704.png,DM,DOMESTIC_MEN_TEAM_A,FC Dynamo Moscow,Midfielder,#30a2da,Russia,🇷🇺,Russia,🇷🇺,Российская премьер-лига 🇷🇺,Group B,12.0,1.0,3.0,2.0
6,MIDFIELDER,Denis Cheryshev,1990-12-26,52268,WINGER,250039177,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250039177.jpg,RUS,Milieu,179.0,74.0,57451,B,31,30.48219178082192,23.095409007209515,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ESP.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52268.png,ESP,FAME,Valencia,https://img.uefa.com/imgml/TP/teams/logos/70x70/52268.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52268.png,VAL,DOMESTIC_MEN_TEAM_A,Valencia CF,Midfielder,#30a2da,Russia,🇷🇺,Spain,🇪🇸,La Liga 🇪🇸,Group B,40.0,14.0,6.0,13.0
18,MIDFIELDER,Yuri Zhirkov,1983-08-20,52826,FULL_BACK,94880,https://img.uefa.com/imgml/TP/players/3/2020/324x324/94880.jpg,RUS,Milieu,180.0,75.0,57451,B,38,37.83835616438356,23.148148148148145,https://img.uefa.com/imgml/uefacom/elements/logos/ma/RUS.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52826.png,RUS,FAME,Zenit,https://img.uefa.com/imgml/TP/teams/logos/70x70/52826.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52826.png,ZEN,DOMESTIC_MEN_TEAM_A,FC Zenit,Midfielder,#30a2da,Russia,🇷🇺,Russia,🇷🇺,Российская премьер-лига 🇷🇺,Group B,120.0,38.0,22.0,51.0
11,MIDFIELDER,Roman Zobnin,1994-02-11,50068,CENTRAL_MIDFIELDER,250024491,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250024491.jpg,RUS,Milieu,184.0,,57451,B,27,27.350684931506848,,https://img.uefa.com/imgml/uefacom/elements/logos/ma/RUS.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/50068.png,RUS,FAME,Spartak Moskva,https://img.uefa.com/imgml/TP/teams/logos/70x70/50068.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/50068.png,SPM,DOMESTIC_MEN_TEAM_A,FC Spartak Moskva,Midfielder,#30a2da,Russia,🇷🇺,Russia,🇷🇺,Российская премьер-лига 🇷🇺,Group B,35.0,6.0,5.0,16.0
17,MIDFIELDER,Aleksandr Golovin,1996-05-30,50023,ATTACKING_MIDFIELDER,250058227,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250058227.jpg,RUS,Milieu,180.0,69.0,57451,B,25,25.052054794520547,21.29629629629629,https://img.uefa.com/imgml/uefacom/elements/logos/ma/FRA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/50023.png,FRA,FAME,Monaco,https://img.uefa.com/imgml/TP/teams/logos/70x70/50023.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/50023.png,MON,DOMESTIC_MEN_TEAM_A,AS Monaco FC,Midfielder,#30a2da,Russia,🇷🇺,France,🇫🇷,Ligue 1 🇫🇷,Group B,38.0,11.0,7.0,15.0
25,FORWARD,Denis Makarov,1998-02-18,82818,STRIKER,250146595,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250146595.jpg,RUS,Attaquant,,,57451,B,23,23.328767123287676,,https://img.uefa.com/imgml/uefacom/elements/logos/ma/RUS.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/82818.png,RUS,FAME,Rubin,https://img.uefa.com/imgml/TP/teams/logos/70x70/82818.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/82818.png,RUB,DOMESTIC_MEN_TEAM_A,FC Rubin,Forward,#e5ae38,Russia,🇷🇺,Russia,🇷🇺,Российская премьер-лига 🇷🇺,Group B,1.0,,,1.0
15,FORWARD,Aleksei Miranchuk,1995-10-17,52816,ATTACKING_MIDFIELDER,250083244,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250083244.jpg,RUS,Attaquant,182.0,74.0,57451,B,26,25.671232876712327,22.34029706557179,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ITA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52816.png,ITA,FAME,Atalanta,https://img.uefa.com/imgml/TP/teams/logos/70x70/52816.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52816.png,ATA,DOMESTIC_MEN_TEAM_A,Atalanta BC,Forward,#e5ae38,Russia,🇷🇺,Italy,🇮🇹,Serie A 🇮🇹,Group B,41.0,7.0,4.0,22.0
